강수량,Latitude,Longitude,elevation,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),시도시군구
0,35.1287446,126.9096465,54.08250045776367,4.0,27.86,16.88,60.58,남구
0,35.1276405,126.9079499,58.63287353515625,4.0,27.86,16.88,60.58,남구
0,35.1297888,126.9059956,54.42724609375,4.0,27.86,16.88,60.58,남구
0,35.147978,126.8900378,47.02352905273438,4.0,27.86,16.88,60.58,남구
0,35.1283932,126.9185362,77.44377136230469,4.0,27.86,16.88,60.58,남구
0,35.1439432,126.9089293,58.28159332275391,4.0,27.86,16.88,60.58,남구
0,35.1401042,126.8998325,66.4874038696289,4.0,27.86,16.88,60.58,남구
0,35.13030510000001,126.9252093,60.35499954223633,4.0,27.86,16.88,60.58,남구
0,35.1170527,126.8987709,70.86300659179688,4.0,27.86,16.88,60.58,남구
0,35.1274537,126.8972859,52.89887619018555,4.0,27.86,16.88,60.58,남구
0,35.1385856,126.8938786,42.65048599243164,4.0,27.86,16.88,60.58,남구
0,35.1375027,126.9038535,62.87976837158203,4.0,27.86,16.88,60.58,남구
0,35.1310451,126.9139789,64.82791137695312,4.0,27.86,16.88,60.58,남구
0,35.15046299999999,126.9023308,50.89480209350586,4.0,27.86,16.88,60.58,남구
0,35.1345311,126.8966858,41.88667297363281,4.0,27.86,16.88,60.58,남구
0,35.1379376,126.8928098,40.967529296875,4.0,27.86,16.88,60.58,남구
0,35.1370973,126.9155054,58.88230895996094,4.0,27.86,16.88,60.58,남구
0,35.1434287,126.8996856,58.40686416625977,4.0,27.86,16.88,60.58,남구
0,35.1299872,126.9234053,65.50206756591797,4.0,27.86,16.88,60.58,남구
0,35.1408744,126.9155264,52.0,4.0,27.86,16.88,60.58,남구
0,35.1284772,126.9127328,59.3314094543457,4.0,27.86,16.88,60.58,남구
0,35.1454846,126.8975715,65.13407897949219,4.0,27.86,16.88,60.58,남구
0,35.1327566,126.8952617,41.59539413452148,4.0,27.86,16.88,60.58,남구
0,35.1324344,126.9108681,54.28135299682617,4.0,27.86,16.88,60.58,남구
0,35.1404018,126.8890769,39.49980163574219,4.0,27.86,16.88,60.58,남구
0,35.1350414,126.904883,51.52980041503906,4.0,27.86,16.88,60.58,남구
0,35.1423707,126.8936085,48.73868560791016,4.0,27.86,16.88,60.58,남구
0,35.1435268,126.9145926,54.30044555664062,4.0,27.86,16.88,60.58,남구
0,35.118393,126.8973962,67.84687042236328,4.0,27.86,16.88,60.58,남구
0,35.1261946,126.9157069,66.65129089355469,4.0,27.86,16.88,60.58,남구
0,35.1104986,126.8848835,68.73316955566406,4.0,27.86,16.88,60.58,남구
0,35.130011,126.9142362,70.17375946044922,4.0,27.86,16.88,60.58,남구
0,35.1195071,126.8963483,68.0211181640625,4.0,27.86,16.88,60.58,남구
0,35.13123849999999,126.914631,63.80137252807617,4.0,27.86,16.88,60.58,남구
0,35.1455604,126.9028071,50.34533309936523,4.0,27.86,16.88,60.58,남구
0,35.1404473,126.8920209,39.89959335327148,4.0,27.86,16.88,60.58,남구
0,35.0539156,126.8135048,20.13974189758301,4.0,27.86,16.88,60.58,남구
0,35.0564115,126.8191123,22.55599975585938,4.0,27.86,16.88,60.58,남구
0,35.1482941,126.9069611,50.39021301269531,4.0,27.86,16.88,60.58,남구
0,35.1278434,126.895725,49.59707641601562,4.0,27.86,16.88,60.58,남구
0,35.1259224,126.8959225,53.17211532592773,4.0,27.86,16.88,60.58,남구
0,35.131736,126.893335,45.26092910766602,4.0,27.86,16.88,60.58,남구
0,35.0602802,126.7889218,12.75064659118652,4.0,27.86,16.88,60.58,남구
0,35.1450768,126.8920061,45.05557632446289,4.0,27.86,16.88,60.58,남구
0,35.1413883,126.890491,37.88303375244141,4.0,27.86,16.88,60.58,남구
0,35.1473897,126.8946588,59.49433517456055,4.0,27.86,16.88,60.58,남구
0,35.1346028,126.9080894,50.39168930053711,4.0,27.86,16.88,60.58,남구
0,35.1346137,126.9058116,48.94741439819336,4.0,27.86,16.88,60.58,남구
0,35.1370291,126.8959548,46.90412139892578,4.0,27.86,16.88,60.58,남구
0,35.083788,126.8147671,27.89040184020996,4.0,27.86,16.88,60.58,남구
0,35.1469015,126.8997042,63.76835250854492,4.0,27.86,16.88,60.58,남구
0,35.13386819999999,126.9178111,60.14320755004883,4.0,27.86,16.88,60.58,남구
0,35.1373396,126.8955374,46.43221282958984,4.0,27.86,16.88,60.58,남구
0,35.0995322,126.8788129,47.732666015625,4.0,27.86,16.88,60.58,남구
0,35.1367169,126.9037065,59.33013534545898,4.0,27.86,16.88,60.58,남구
0,35.1301912,126.9187425,76.74710083007812,4.0,27.86,16.88,60.58,남구
0,35.1354477,126.8977825,46.89365768432617,4.0,27.86,16.88,60.58,남구
0,35.1343931,126.9012419,44.84291076660156,4.0,27.86,16.88,60.58,남구
0,35.146248,126.9062282,60.88375854492188,4.0,27.86,16.88,60.58,남구
0,35.1462119,126.8889257,43.40280532836914,4.0,27.86,16.88,60.58,남구
0,35.1334499,126.8951412,41.5561408996582,4.0,27.86,16.88,60.58,남구
0,35.1322767,126.9081846,48.52603912353516,4.0,27.86,16.88,60.58,남구
0,35.1299023,126.9234505,66.31529235839844,4.0,27.86,16.88,60.58,남구
0,35.1318076,126.9132334,60.79047393798828,4.0,27.86,16.88,60.58,남구
0,35.1414163,126.8943384,47.0,4.0,27.86,16.88,60.58,남구
0,35.0873997,126.8683262,45.18844985961914,4.0,27.86,16.88,60.58,남구
0,35.0576182,126.7863841,11.33744621276855,4.0,27.86,16.88,60.58,남구
0,35.1438642,126.8950674,62.17139053344727,4.0,27.86,16.88,60.58,남구
0,35.0995475,126.8786664,47.37743759155273,4.0,27.86,16.88,60.58,남구
0,35.1472869,126.8926071,49.84704208374023,4.0,27.86,16.88,60.58,남구
0,35.1324297,126.9113631,56.80701065063477,4.0,27.86,16.88,60.58,남구
0,35.144623,126.8895581,42.51374435424805,4.0,27.86,16.88,60.58,남구
0,35.1371388,126.8896697,45.70011520385742,4.0,27.86,16.88,60.58,남구
0,35.1369365,126.8940168,39.29632949829102,4.0,27.86,16.88,60.58,남구
0,35.118981,126.8980665,63.24643325805664,4.0,27.86,16.88,60.58,남구
0,35.0993754,126.8787625,48.18019104003906,4.0,27.86,16.88,60.58,남구
0,35.1439499,126.9091054,57.97826766967773,4.0,27.86,16.88,60.58,남구
0,35.1185262,126.8985044,63.2811393737793,4.0,27.86,16.88,60.58,남구
0,35.1414106,126.910245,79.23924255371094,4.0,27.86,16.88,60.58,남구
0,35.132217,126.9042459,49.29729461669922,4.0,27.86,16.88,60.58,남구
