강수량,Latitude,Longitude,elevation,침수피해여부,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢)
25.4,35.0577807,126.7838251,13.13328647613525,0.0,4.0,27.86,16.88,60.58
0.0,35.1439462,126.8727556,43.31506729125977,0.0,3.0,42.14,20.02,47.52
0.0,35.1924971,126.8778026,50.28604888916016,0.0,0.0,25.52,30.49,119.46
1.6,35.1866877,126.9068759,44.50324630737305,0.0,0.0,25.52,30.49,119.46
0.0,35.1406644,126.9019909,60.22901153564453,0.0,4.0,27.86,16.88,60.58
0.0,35.1571369,126.906744,43.41632080078125,0.0,0.0,25.52,30.49,119.46
0.0,35.1655231,126.8828194,28.99505805969238,0.0,3.0,42.14,20.02,47.52
0.0,35.1387311,126.9002419,59.98354721069336,0.0,4.0,27.86,16.88,60.58
27.4,35.1241545,126.7940997,16.2915096282959,0.0,25.0,22.06,48.99,222.05
0.0,35.1887581,126.9111367,47.08961486816406,0.0,0.0,25.52,30.49,119.46
0.0,35.1572554,126.8880116,43.08249282836914,0.0,3.0,42.14,20.02,47.52
0.0,35.1568419,126.885529,39.33523559570312,0.0,3.0,42.14,20.02,47.52
24.4,35.1260247,126.8964143,52.62226486206055,0.0,4.0,27.86,16.88,60.58
10.4,35.1325808,126.9335003,72.05921936035156,0.0,0.0,16.8,8.19,48.74
0.0,35.150094,126.8218634,16.0,0.0,25.0,22.06,48.99,222.05
0.0,35.1368718,126.7972045,18.18679809570312,0.0,25.0,22.06,48.99,222.05
0.0,35.1457973,126.8985515,56.86474227905273,0.0,4.0,27.86,16.88,60.58
1.8,35.13639,126.9023505,55.99862670898438,0.0,4.0,27.86,16.88,60.58
0.0,35.1572724,126.8984425,37.38238525390625,0.0,3.0,42.14,20.02,47.52
0.0,35.1415675,126.9178759,53.655517578125,0.0,0.0,16.8,8.19,48.74
0.0,35.1673624,126.9209352,50.19437026977539,0.0,0.0,25.52,30.49,119.46
0.0,35.1499379,126.9364932,86.60391998291016,0.0,0.0,16.8,8.19,48.74
0.0,35.1541531,126.8364602,18.00178146362305,0.0,3.0,42.14,20.02,47.52
1.8,35.1542631,126.9242502,53.84719085693359,0.0,0.0,16.8,8.19,48.74
0.0,35.143016,126.7945435,19.48465919494629,0.0,25.0,22.06,48.99,222.05
0.0,35.1316857,126.9357656,71.26528930664062,0.0,0.0,16.8,8.19,48.74
0.0,35.1439462,126.8727556,43.31506729125977,0.0,3.0,42.14,20.02,47.52
0.0,35.1499427,126.9147507,54.81064224243164,0.0,0.0,16.8,8.19,48.74
0.0,35.1457333,126.8941988,56.62417984008789,0.0,4.0,27.86,16.88,60.58
0.0,35.1496797,126.8827945,33.23175048828125,0.0,3.0,42.14,20.02,47.52
22.7,35.1415675,126.9178759,53.655517578125,0.0,0.0,16.8,8.19,48.74
2.8,35.2077959,126.8722667,43.48720550537109,0.0,0.0,25.52,30.49,119.46
0.0,35.1475659,126.9071388,56.06894683837891,0.0,4.0,27.86,16.88,60.58
0.0,35.1494077,126.903109,48.90438079833984,0.0,4.0,27.86,16.88,60.58
0.0,35.1597343,126.7153636,29.0779972076416,0.0,25.0,22.06,48.99,222.05
25.4,35.1586333,126.8954731,40.56833267211914,0.0,3.0,42.14,20.02,47.52
0.0,35.1542631,126.9242502,53.84719085693359,0.0,0.0,16.8,8.19,48.74
0.0,35.0805374,126.8334389,23.31890678405762,0.0,4.0,27.86,16.88,60.58
0.0,35.1781713,126.9141114,54.63851547241211,0.0,0.0,25.52,30.49,119.46
0.0,35.1469015,126.8997042,63.76835250854492,0.0,4.0,27.86,16.88,60.58
0.0,35.1444477,126.9300446,66.3628921508789,0.0,0.0,16.8,8.19,48.74
0.0,35.2110592,126.8906454,76.8626480102539,0.0,0.0,25.52,30.49,119.46
0.0,35.1261113,126.8795152,62.20799255371094,0.0,3.0,42.14,20.02,47.52
0.0,35.1406644,126.9019909,60.22901153564453,0.0,4.0,27.86,16.88,60.58
0.0,35.112131,126.9026155,76.74944305419922,0.0,4.0,27.86,16.88,60.58
34.0,35.1573293,126.8879283,42.78202819824219,0.0,3.0,42.14,20.02,47.52
11.0,35.1476374,126.790654,22.54300880432129,0.0,25.0,22.06,48.99,222.05
0.0,35.1385979,126.9209075,53.58453369140625,0.0,0.0,16.8,8.19,48.74
0.9,35.1862626,126.7263688,37.55657577514648,0.0,25.0,22.06,48.99,222.05
2.9,35.1400029,126.8589916,40.20116424560547,0.0,3.0,42.14,20.02,47.52
14.3,35.1421962,126.8599823,43.72000122070312,0.0,3.0,42.14,20.02,47.52
0.0,35.1706227,126.8095713,25.42091751098633,0.0,25.0,22.06,48.99,222.05
0.0,35.1515292,126.9006602,59.71409225463867,0.0,4.0,27.86,16.88,60.58
0.9,35.1385609,126.7957142,17.98719596862793,0.0,25.0,22.06,48.99,222.05
0.0,35.200338,126.9546291,69.02775573730469,0.0,0.0,25.52,30.49,119.46
0.0,35.1673624,126.9209352,50.19437026977539,0.0,0.0,25.52,30.49,119.46
0.4,35.1704996,126.9165988,45.96827697753906,0.0,0.0,25.52,30.49,119.46
0.0,35.1704996,126.9165988,45.96827697753906,0.0,0.0,25.52,30.49,119.46
0.0,35.1494565,126.8760722,49.68955230712891,0.0,3.0,42.14,20.02,47.52
0.0,35.1602469,126.9055211,41.56068420410156,0.0,0.0,25.52,30.49,119.46
5.9,35.1597343,126.7153636,29.0779972076416,0.0,25.0,22.06,48.99,222.05
0.0,35.1495275,126.9258789,57.62741088867188,0.0,0.0,16.8,8.19,48.74
0.0,35.1676438,126.8927763,31.40657615661621,0.0,0.0,25.52,30.49,119.46
0.0,35.0948922,126.9392831,94.26983642578124,0.0,0.0,16.8,8.19,48.74
4.8,35.1494565,126.8760722,49.68955230712891,0.0,3.0,42.14,20.02,47.52
1.1,35.0560514,126.7833532,13.0752124786377,0.0,4.0,27.86,16.88,60.58
0.0,35.1518213,126.8657699,39.51984405517578,0.0,3.0,42.14,20.02,47.52
0.0,35.1360748,126.7691344,18.5508918762207,0.0,25.0,22.06,48.99,222.05
0.0,35.0805374,126.8334389,23.31890678405762,0.0,4.0,27.86,16.88,60.58
0.0,35.1522594,126.9253775,55.91386032104492,0.0,0.0,16.8,8.19,48.74
21.2,35.1518213,126.8657699,39.51984405517578,0.0,3.0,42.14,20.02,47.52
0.0,35.1477206,126.9269732,59.1411247253418,0.0,0.0,16.8,8.19,48.74
16.4,35.197117,126.8370663,36.34310150146484,0.0,25.0,22.06,48.99,222.05
0.0,35.1426692,126.9001527,62.07780456542969,0.0,4.0,27.86,16.88,60.58
0.0,35.143016,126.7945435,19.48465919494629,0.0,25.0,22.06,48.99,222.05
4.0,35.152832,126.9228019,53.6611442565918,0.0,0.0,16.8,8.19,48.74
0.0,35.0943776,126.8364317,44.96719360351562,0.0,4.0,27.86,16.88,60.58
0.5,35.1413831,126.872609,46.91574478149414,0.0,3.0,42.14,20.02,47.52
0.0,35.2129041,126.8404606,30.09688949584961,0.0,25.0,22.06,48.99,222.05
0.0,35.2108627,126.6868377,39.13636016845703,0.0,25.0,22.06,48.99,222.05
0.0,35.1363594,126.7174641,37.67833709716797,0.0,25.0,22.06,48.99,222.05
27.2,35.1649239,126.8830806,29.44400978088379,0.0,3.0,42.14,20.02,47.52
0.9,35.1553069,126.8959378,65.54194641113281,0.0,3.0,42.14,20.02,47.52
0.0,35.1457333,126.8941988,56.62417984008789,0.0,4.0,27.86,16.88,60.58
1.1,35.1645852,126.8963637,35.80691909790039,0.0,0.0,25.52,30.49,119.46
0.0,35.1496797,126.8827945,33.23175048828125,0.0,3.0,42.14,20.02,47.52
7.3,35.1544888,126.8146365,17.79960823059082,0.0,25.0,22.06,48.99,222.05
0.0,35.1314545,126.9388644,79.92174530029297,0.0,0.0,16.8,8.19,48.74
0.0,35.1675874,126.9218853,51.62979125976562,0.0,0.0,25.52,30.49,119.46
0.0,35.1581399,126.9304922,60.28423309326172,0.0,0.0,16.8,8.19,48.74
0.0,35.1876142,126.8020483,34.45516204833984,0.0,25.0,22.06,48.99,222.05
0.0,35.1673971,126.8735194,24.71011352539062,0.0,3.0,42.14,20.02,47.52
0.0,35.1736131,126.8863799,32.10572814941406,0.0,0.0,25.52,30.49,119.46
0.0,35.148662,126.8766452,49.64537048339844,0.0,3.0,42.14,20.02,47.52
0.0,35.1385609,126.7957142,17.98719596862793,0.0,25.0,22.06,48.99,222.05
3.4,35.1343012,126.9194116,59.69325256347656,0.0,4.0,27.86,16.88,60.58
0.0,35.1400029,126.8589916,40.20116424560547,0.0,3.0,42.14,20.02,47.52
0.0,35.1522064,126.8085945,25.86457252502441,0.0,25.0,22.06,48.99,222.05
0.0,35.1390565,126.9015031,54.77715301513672,0.0,4.0,27.86,16.88,60.58
0.0,35.1641733,126.8859174,29.46664237976074,0.0,3.0,42.14,20.02,47.52
59.4,35.1524799,126.9235033,54.9812126159668,0.0,0.0,16.8,8.19,48.74
2.4,35.1675069,126.8784793,27.04183197021484,0.0,3.0,42.14,20.02,47.52
0.1,35.1862626,126.7263688,37.55657577514648,0.0,25.0,22.06,48.99,222.05
10.0,35.1649239,126.8830806,29.44400978088379,0.0,3.0,42.14,20.02,47.52
3.0,35.1434288,126.7951817,19.0,0.0,25.0,22.06,48.99,222.05
14.7,35.1306934,126.8971538,48.61264038085938,0.0,4.0,27.86,16.88,60.58
0.0,35.181098,126.9178608,54.68577575683594,0.0,0.0,25.52,30.49,119.46
0.0,35.1428271,126.8790495,56.1893310546875,0.0,3.0,42.14,20.02,47.52
2.2,35.2113009,126.7891187,36.60235214233398,0.0,25.0,22.06,48.99,222.05
4.8,35.1713151,126.90934,38.87763977050781,0.0,0.0,25.52,30.49,119.46
0.0,35.1646555,126.9320193,64.91008758544922,0.0,0.0,25.52,30.49,119.46
0.0,35.1437581,126.8812118,55.00456619262695,0.0,3.0,42.14,20.02,47.52
0.0,35.1413508,126.9010708,62.15013122558594,0.0,4.0,27.86,16.88,60.58
0.0,35.1573293,126.8879283,42.78202819824219,0.0,3.0,42.14,20.02,47.52
2.5,35.1662931,126.8751885,25.85589790344238,0.0,3.0,42.14,20.02,47.52
0.0,35.1586158,126.8941654,40.20560073852539,0.0,3.0,42.14,20.02,47.52
2.4,35.182602,126.6873591,58.74080276489258,0.0,25.0,22.06,48.99,222.05
0.0,35.1728141,126.807949,26.6169548034668,0.0,25.0,22.06,48.99,222.05
0.0,35.160212,126.8915868,35.15761184692383,0.0,3.0,42.14,20.02,47.52
59.4,35.2434503,126.879012,23.95376396179199,0.0,0.0,25.52,30.49,119.46
1.2,35.1425446,126.9098809,68.6964111328125,0.0,4.0,27.86,16.88,60.58
0.5,35.1600245,126.8638337,29.27604675292969,0.0,3.0,42.14,20.02,47.52
0.0,35.1469322,126.9030353,48.1446418762207,0.0,4.0,27.86,16.88,60.58
0.0,35.1078032,126.820492,17.79800033569336,0.0,3.0,42.14,20.02,47.52
0.0,35.1465871,126.9062728,59.52001190185547,0.0,4.0,27.86,16.88,60.58
14.0,35.1232633,126.921302,94.6254653930664,0.0,4.0,27.86,16.88,60.58
32.0,35.1418015,126.8801483,56.00699996948242,0.0,3.0,42.14,20.02,47.52
1.4,35.1589477,126.9306216,60.2236213684082,0.0,0.0,16.8,8.19,48.74
38.3,35.2023358,126.899472,51.36626815795898,0.0,0.0,25.52,30.49,119.46
39.7,35.1328032,126.8969316,43.30837249755859,0.0,4.0,27.86,16.88,60.58
0.0,35.1940461,126.805887,36.02415084838867,0.0,25.0,22.06,48.99,222.05
0.0,35.1334508,126.9210401,61.14130401611328,0.0,4.0,27.86,16.88,60.58
0.0,35.1524799,126.9235033,54.9812126159668,0.0,0.0,16.8,8.19,48.74
43.7,35.1713151,126.90934,38.87763977050781,0.0,0.0,25.52,30.49,119.46
0.0,35.13639,126.9023505,55.99862670898438,0.0,4.0,27.86,16.88,60.58
15.5,35.1144762,126.8302395,21.60923004150391,0.0,3.0,42.14,20.02,47.52
0.2,35.1683723,126.8941023,32.0,0.0,0.0,25.52,30.49,119.46
0.0,35.1213018,126.8648769,36.96207046508789,0.0,3.0,42.14,20.02,47.52
0.0,35.1811203,127.0030157,99.00837707519533,0.0,0.0,25.52,30.49,119.46
54.2,35.1559061,126.8632292,47.41012573242188,0.0,3.0,42.14,20.02,47.52
0.0,35.1406017,126.9003854,61.27557373046875,0.0,4.0,27.86,16.88,60.58
0.0,35.1677717,126.9126925,41.77969360351562,0.0,0.0,25.52,30.49,119.46
0.0,35.1785761,126.8647414,47.95009994506836,0.0,0.0,25.52,30.49,119.46
0.0,35.1734288,126.8141243,23.6020565032959,0.0,25.0,22.06,48.99,222.05
30.2,35.1579583,126.8881965,39.85526657104492,0.0,3.0,42.14,20.02,47.52
0.2,35.1734288,126.8141243,23.6020565032959,0.0,25.0,22.06,48.99,222.05
0.0,35.1317112,126.7872725,18.09162712097168,0.0,25.0,22.06,48.99,222.05
0.0,35.1971756,126.8401002,51.70428085327148,0.0,25.0,22.06,48.99,222.05
0.0,35.1758494,126.7355297,23.0,0.0,25.0,22.06,48.99,222.05
0.0,35.1358459,126.9026424,55.41002655029297,0.0,4.0,27.86,16.88,60.58
0.0,35.1325948,126.8568828,37.97250366210938,0.0,3.0,42.14,20.02,47.52
1.8,35.1536378,126.8699809,49.29208374023438,0.0,3.0,42.14,20.02,47.52
0.0,35.1515928,126.8846082,37.40296173095703,0.0,3.0,42.14,20.02,47.52
0.0,35.1460006,126.8910915,47.96675872802734,0.0,4.0,27.86,16.88,60.58
0.0,35.1311907,126.9134425,62.68844985961914,0.0,4.0,27.86,16.88,60.58
0.0,35.1328028,126.9320618,71.06591796875,0.0,0.0,16.8,8.19,48.74
1.0,35.1524799,126.9235033,54.9812126159668,0.0,0.0,16.8,8.19,48.74
100.3,35.1511731,126.868163,48.3347053527832,0.0,3.0,42.14,20.02,47.52
0.0,35.1808229,126.8975052,35.50476837158203,0.0,0.0,25.52,30.49,119.46
0.0,35.1572554,126.8880116,43.08249282836914,0.0,3.0,42.14,20.02,47.52
27.1,35.1360748,126.7691344,18.5508918762207,0.0,25.0,22.06,48.99,222.05
0.0,35.1417794,126.8889698,38.07433700561523,0.0,4.0,27.86,16.88,60.58
1.1,35.1604899,126.8987876,36.82519912719727,0.0,0.0,25.52,30.49,119.46
0.9,35.1434288,126.7951817,19.0,0.0,25.0,22.06,48.99,222.05
0.0,35.1478454,126.8500272,22.74183464050293,0.0,3.0,42.14,20.02,47.52
0.0,35.1463132,126.9075102,62.70846557617188,0.0,4.0,27.86,16.88,60.58
0.0,35.200338,126.9546291,69.02775573730469,0.0,0.0,25.52,30.49,119.46
