Latitude,Longitude,elevation,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢)
35.1286992,126.9248808,73.27078247070312,4.0,27.86,16.88,60.58
35.1359869,126.8916555,41.14283752441406,4.0,27.86,16.88,60.58
35.1386408,126.8922107,41.06243896484375,4.0,27.86,16.88,60.58
35.1407355,126.916143,52.0,4.0,27.86,16.88,60.58
35.0805075,126.8348828,23.69777488708496,4.0,27.86,16.88,60.58
35.1464381,126.8983919,61.9062385559082,4.0,27.86,16.88,60.58
35.0718626,126.8400623,32.28456878662109,4.0,27.86,16.88,60.58
35.1031863,126.884273,81.20155334472656,4.0,27.86,16.88,60.58
35.0847109,126.8292615,28.96787643432617,4.0,27.86,16.88,60.58
35.1464722,126.8930201,51.5355339050293,4.0,27.86,16.88,60.58
35.1136336,126.902531,82.89542388916016,4.0,27.86,16.88,60.58
35.1083058,126.8976005,81.0650863647461,4.0,27.86,16.88,60.58
35.1069315,126.8748664,54.06972503662109,4.0,27.86,16.88,60.58
35.1431758,126.9149532,54.1656608581543,4.0,27.86,16.88,60.58
35.1354983,126.8906823,45.08695220947266,4.0,27.86,16.88,60.58
35.0941798,126.8490432,36.54116821289062,4.0,27.86,16.88,60.58
35.1466727,126.9046641,49.50481414794922,4.0,27.86,16.88,60.58
35.1287446,126.9096465,54.08250045776367,4.0,27.86,16.88,60.58
35.1276405,126.9079499,58.63287353515625,4.0,27.86,16.88,60.58
35.1297888,126.9059956,54.42724609375,4.0,27.86,16.88,60.58
35.147978,126.8900378,47.02352905273438,4.0,27.86,16.88,60.58
35.1283932,126.9185362,77.44377136230469,4.0,27.86,16.88,60.58
35.1439432,126.9089293,58.28159332275391,4.0,27.86,16.88,60.58
35.1401042,126.8998325,66.4874038696289,4.0,27.86,16.88,60.58
35.13030510000001,126.9252093,60.35499954223633,4.0,27.86,16.88,60.58
35.1170527,126.8987709,70.86300659179688,4.0,27.86,16.88,60.58
35.1274537,126.8972859,52.89887619018555,4.0,27.86,16.88,60.58
35.1385856,126.8938786,42.65048599243164,4.0,27.86,16.88,60.58
35.1375027,126.9038535,62.87976837158203,4.0,27.86,16.88,60.58
35.1310451,126.9139789,64.82791137695312,4.0,27.86,16.88,60.58
35.15046299999999,126.9023308,50.89480209350586,4.0,27.86,16.88,60.58
35.1345311,126.8966858,41.88667297363281,4.0,27.86,16.88,60.58
35.1379376,126.8928098,40.967529296875,4.0,27.86,16.88,60.58
35.1370973,126.9155054,58.88230895996094,4.0,27.86,16.88,60.58
35.1434287,126.8996856,58.40686416625977,4.0,27.86,16.88,60.58
35.1299872,126.9234053,65.50206756591797,4.0,27.86,16.88,60.58
35.1408744,126.9155264,52.0,4.0,27.86,16.88,60.58
35.1284772,126.9127328,59.3314094543457,4.0,27.86,16.88,60.58
35.1454846,126.8975715,65.13407897949219,4.0,27.86,16.88,60.58
35.1327566,126.8952617,41.59539413452148,4.0,27.86,16.88,60.58
35.1324344,126.9108681,54.28135299682617,4.0,27.86,16.88,60.58
35.1404018,126.8890769,39.49980163574219,4.0,27.86,16.88,60.58
35.1350414,126.904883,51.52980041503906,4.0,27.86,16.88,60.58
35.1423707,126.8936085,48.73868560791016,4.0,27.86,16.88,60.58
35.1435268,126.9145926,54.30044555664062,4.0,27.86,16.88,60.58
35.118393,126.8973962,67.84687042236328,4.0,27.86,16.88,60.58
35.1261946,126.9157069,66.65129089355469,4.0,27.86,16.88,60.58
35.1104986,126.8848835,68.73316955566406,4.0,27.86,16.88,60.58
35.130011,126.9142362,70.17375946044922,4.0,27.86,16.88,60.58
35.1195071,126.8963483,68.0211181640625,4.0,27.86,16.88,60.58
35.13123849999999,126.914631,63.80137252807617,4.0,27.86,16.88,60.58
35.1455604,126.9028071,50.34533309936523,4.0,27.86,16.88,60.58
35.1404473,126.8920209,39.89959335327148,4.0,27.86,16.88,60.58
35.0539156,126.8135048,20.13974189758301,4.0,27.86,16.88,60.58
35.0564115,126.8191123,22.55599975585938,4.0,27.86,16.88,60.58
35.1482941,126.9069611,50.39021301269531,4.0,27.86,16.88,60.58
35.1278434,126.895725,49.59707641601562,4.0,27.86,16.88,60.58
35.1259224,126.8959225,53.17211532592773,4.0,27.86,16.88,60.58
35.131736,126.893335,45.26092910766602,4.0,27.86,16.88,60.58
35.0602802,126.7889218,12.75064659118652,4.0,27.86,16.88,60.58
35.1450768,126.8920061,45.05557632446289,4.0,27.86,16.88,60.58
35.1413883,126.890491,37.88303375244141,4.0,27.86,16.88,60.58
35.1473897,126.8946588,59.49433517456055,4.0,27.86,16.88,60.58
35.1346028,126.9080894,50.39168930053711,4.0,27.86,16.88,60.58
35.1346137,126.9058116,48.94741439819336,4.0,27.86,16.88,60.58
35.1370291,126.8959548,46.90412139892578,4.0,27.86,16.88,60.58
35.083788,126.8147671,27.89040184020996,4.0,27.86,16.88,60.58
35.1469015,126.8997042,63.76835250854492,4.0,27.86,16.88,60.58
35.13386819999999,126.9178111,60.14320755004883,4.0,27.86,16.88,60.58
35.1373396,126.8955374,46.43221282958984,4.0,27.86,16.88,60.58
35.0995322,126.8788129,47.732666015625,4.0,27.86,16.88,60.58
35.1367169,126.9037065,59.33013534545898,4.0,27.86,16.88,60.58
35.1301912,126.9187425,76.74710083007812,4.0,27.86,16.88,60.58
35.1354477,126.8977825,46.89365768432617,4.0,27.86,16.88,60.58
35.1343931,126.9012419,44.84291076660156,4.0,27.86,16.88,60.58
35.146248,126.9062282,60.88375854492188,4.0,27.86,16.88,60.58
35.1462119,126.8889257,43.40280532836914,4.0,27.86,16.88,60.58
35.1334499,126.8951412,41.5561408996582,4.0,27.86,16.88,60.58
35.1322767,126.9081846,48.52603912353516,4.0,27.86,16.88,60.58
35.1299023,126.9234505,66.31529235839844,4.0,27.86,16.88,60.58
35.1318076,126.9132334,60.79047393798828,4.0,27.86,16.88,60.58
35.1414163,126.8943384,47.0,4.0,27.86,16.88,60.58
35.0873997,126.8683262,45.18844985961914,4.0,27.86,16.88,60.58
35.0576182,126.7863841,11.33744621276855,4.0,27.86,16.88,60.58
35.1438642,126.8950674,62.17139053344727,4.0,27.86,16.88,60.58
35.0995475,126.8786664,47.37743759155273,4.0,27.86,16.88,60.58
35.1472869,126.8926071,49.84704208374023,4.0,27.86,16.88,60.58
35.1324297,126.9113631,56.80701065063477,4.0,27.86,16.88,60.58
35.144623,126.8895581,42.51374435424805,4.0,27.86,16.88,60.58
35.1371388,126.8896697,45.70011520385742,4.0,27.86,16.88,60.58
35.1369365,126.8940168,39.29632949829102,4.0,27.86,16.88,60.58
35.118981,126.8980665,63.24643325805664,4.0,27.86,16.88,60.58
35.0993754,126.8787625,48.18019104003906,4.0,27.86,16.88,60.58
35.1439499,126.9091054,57.97826766967773,4.0,27.86,16.88,60.58
35.1185262,126.8985044,63.2811393737793,4.0,27.86,16.88,60.58
35.1414106,126.910245,79.23924255371094,4.0,27.86,16.88,60.58
35.132217,126.9042459,49.29729461669922,4.0,27.86,16.88,60.58
35.0839909,126.8063276,20.91157531738281,4.0,27.86,16.88,60.58
35.1380862,126.9084841,69.44525909423828,4.0,27.86,16.88,60.58
35.1302761,126.9060598,53.80326080322266,4.0,27.86,16.88,60.58
35.1468569,126.9004514,61.31507873535156,4.0,27.86,16.88,60.58
35.1425743,126.8904667,37.27225112915039,4.0,27.86,16.88,60.58
35.13237489999999,126.9062241,49.0908317565918,4.0,27.86,16.88,60.58
35.1286721,126.8954258,47.65446853637695,4.0,27.86,16.88,60.58
35.1289256,126.9073692,58.69588851928711,4.0,27.86,16.88,60.58
35.1473079,126.8929851,50.34261703491211,4.0,27.86,16.88,60.58
35.08703819999999,126.8168935,25.19536399841309,4.0,27.86,16.88,60.58
35.1411778,126.9169783,52.51728820800781,4.0,27.86,16.88,60.58
35.1474445,126.8905492,49.13567352294922,4.0,27.86,16.88,60.58
35.13381469999999,126.9184437,61.53417587280273,4.0,27.86,16.88,60.58
35.1444498,126.8922801,45.8825798034668,4.0,27.86,16.88,60.58
35.1430335,126.9084017,64.36648559570312,4.0,27.86,16.88,60.58
35.1072946,126.8759744,51.27016067504883,4.0,27.86,16.88,60.58
35.1351336,126.8961936,41.72944641113281,4.0,27.86,16.88,60.58
35.1345277,126.9111286,57.21686553955078,4.0,27.86,16.88,60.58
35.1343066,126.8960402,41.72103500366211,4.0,27.86,16.88,60.58
35.1444482,126.910932,54.26612854003906,4.0,27.86,16.88,60.58
35.129114,126.9265246,61.89007949829102,4.0,27.86,16.88,60.58
35.1377633,126.8922838,41.0,4.0,27.86,16.88,60.58
35.1291711,126.9257308,63.32523727416992,4.0,27.86,16.88,60.58
35.1355417,126.8918708,41.52826309204102,4.0,27.86,16.88,60.58
35.1371341,126.8934688,39.9943962097168,4.0,27.86,16.88,60.58
35.1347779,126.894002,41.11412048339844,4.0,27.86,16.88,60.58
35.1335733,126.9172302,60.81022644042969,4.0,27.86,16.88,60.58
35.1320205,126.9111485,56.38140487670898,4.0,27.86,16.88,60.58
35.14033939999999,126.8900854,39.09067535400391,4.0,27.86,16.88,60.58
35.1482949,126.9015918,55.03770065307617,4.0,27.86,16.88,60.58
35.1340277,126.9137242,55.78017425537109,4.0,27.86,16.88,60.58
35.1444398,126.8997108,55.4985237121582,4.0,27.86,16.88,60.58
35.1264101,126.8953778,53.54512023925781,4.0,27.86,16.88,60.58
35.0715609,126.8372741,32.26816177368164,4.0,27.86,16.88,60.58
35.134025,126.9068827,47.62252426147461,4.0,27.86,16.88,60.58
35.129051,126.9135695,65.17179107666016,4.0,27.86,16.88,60.58
35.1306255,126.9229107,62.72392272949219,4.0,27.86,16.88,60.58
35.1294082,126.9251297,63.39722442626953,4.0,27.86,16.88,60.58
35.1328111,126.9161816,61.14703750610352,4.0,27.86,16.88,60.58
35.1304513,126.9231569,62.86838912963867,4.0,27.86,16.88,60.58
35.1399828,126.8899261,39.69082641601562,4.0,27.86,16.88,60.58
35.1363967,126.8960321,44.71987915039062,4.0,27.86,16.88,60.58
35.1265795,126.9114472,52.57248687744141,4.0,27.86,16.88,60.58
35.1272173,126.9067965,60.84580230712891,4.0,27.86,16.88,60.58
35.1123474,126.8993501,80.52416229248047,4.0,27.86,16.88,60.58
35.1409834,126.888797,39.18584060668945,4.0,27.86,16.88,60.58
35.1469138,126.8984587,65.97940063476562,4.0,27.86,16.88,60.58
35.1381812,126.8897735,44.74945449829102,4.0,27.86,16.88,60.58
35.150642,126.8955001,54.88630294799805,4.0,27.86,16.88,60.58
35.0925848,126.8595395,52.53658294677734,4.0,27.86,16.88,60.58
35.1298507,126.9183551,74.62483978271484,4.0,27.86,16.88,60.58
35.134627,126.8968254,41.94737243652344,4.0,27.86,16.88,60.58
35.1439299,126.910122,60.68215942382812,4.0,27.86,16.88,60.58
35.1368859,126.9075258,57.30042266845703,4.0,27.86,16.88,60.58
35.1288239,126.9137899,65.33360290527344,4.0,27.86,16.88,60.58
35.1359638,126.892509,40.21188735961914,4.0,27.86,16.88,60.58
35.1409851,126.887768,41.11850738525391,4.0,27.86,16.88,60.58
35.1290446,126.9107655,54.19839477539062,4.0,27.86,16.88,60.58
35.13502870000001,126.9091948,55.18196868896484,4.0,27.86,16.88,60.58
35.1403791,126.8872114,45.33803939819336,4.0,27.86,16.88,60.58
35.1281234,126.9186827,77.05489349365234,4.0,27.86,16.88,60.58
35.1346918,126.8978313,42.9078483581543,4.0,27.86,16.88,60.58
35.1363536,126.9017891,52.55278015136719,4.0,27.86,16.88,60.58
35.1517056,126.8997291,60.82062530517578,4.0,27.86,16.88,60.58
35.1321041,126.8933263,44.76285552978516,4.0,27.86,16.88,60.58
35.1271005,126.9170236,73.94539642333984,4.0,27.86,16.88,60.58
35.130629,126.8975568,49.91170501708984,4.0,27.86,16.88,60.58
35.1193349,126.8958784,72.20184326171875,4.0,27.86,16.88,60.58
35.1438497,126.8997995,57.34649276733398,4.0,27.86,16.88,60.58
35.1334111,126.8981546,45.79102325439453,4.0,27.86,16.88,60.58
35.0871861,126.8402558,29.51709365844727,4.0,27.86,16.88,60.58
35.1321715,126.9128458,59.2005729675293,4.0,27.86,16.88,60.58
35.1477618,126.9011615,58.44536972045898,4.0,27.86,16.88,60.58
35.12751799999999,126.9088301,58.30825042724609,4.0,27.86,16.88,60.58
35.0948748,126.8771148,65.28607940673828,4.0,27.86,16.88,60.58
35.129848,126.9252183,61.7901611328125,4.0,27.86,16.88,60.58
35.1325446,126.8954282,41.66165542602539,4.0,27.86,16.88,60.58
35.1296485,126.9257493,61.726318359375,4.0,27.86,16.88,60.58
35.1275661,126.9100228,54.79287338256836,4.0,27.86,16.88,60.58
35.1120938,126.8820801,80.88836669921875,4.0,27.86,16.88,60.58
35.14076680000001,126.8894739,38.91420364379883,4.0,27.86,16.88,60.58
35.1465975,126.8888697,42.67812347412109,4.0,27.86,16.88,60.58
35.1405636,126.8955797,51.36537551879883,4.0,27.86,16.88,60.58
35.1414291,126.8875909,40.45924377441406,4.0,27.86,16.88,60.58
35.1313006,126.9132083,62.17160797119141,4.0,27.86,16.88,60.58
35.144856,126.9014558,54.9071044921875,4.0,27.86,16.88,60.58
35.1412327,126.8869002,42.37126541137695,4.0,27.86,16.88,60.58
35.129792,126.9236994,65.63554382324219,4.0,27.86,16.88,60.58
35.1215892,126.9206426,82.9164810180664,4.0,27.86,16.88,60.58
35.1393654,126.8907481,39.02710723876953,4.0,27.86,16.88,60.58
35.12967860000001,126.9056971,53.88040161132812,4.0,27.86,16.88,60.58
35.1187542,126.897382,66.68492889404297,4.0,27.86,16.88,60.58
35.1087928,126.8854356,56.53895950317383,4.0,27.86,16.88,60.58
35.1453418,126.9054971,59.40109634399414,4.0,27.86,16.88,60.58
35.0569493,126.7828605,13.61712646484375,4.0,27.86,16.88,60.58
35.0658338,126.801576,18.06392860412598,4.0,27.86,16.88,60.58
35.1398431,126.8952129,49.64484024047852,4.0,27.86,16.88,60.58
35.1299667,126.897861,51.60487747192383,4.0,27.86,16.88,60.58
35.1394672,126.9153468,55.59948348999023,4.0,27.86,16.88,60.58
35.14525310000001,126.8883419,40.60830307006836,4.0,27.86,16.88,60.58
35.1343882,126.8927901,43.47921752929688,4.0,27.86,16.88,60.58
35.1381646,126.8941736,42.3918342590332,4.0,27.86,16.88,60.58
35.1449729,126.9057449,61.05763244628906,4.0,27.86,16.88,60.58
35.1511627,126.9006345,64.1425552368164,4.0,27.86,16.88,60.58
35.1464246,126.8887628,42.61855697631836,4.0,27.86,16.88,60.58
35.1303908,126.9218381,75.38094329833984,4.0,27.86,16.88,60.58
35.15186509999999,126.8996707,59.04736709594727,4.0,27.86,16.88,60.58
35.1378118,126.9035125,64.4981689453125,4.0,27.86,16.88,60.58
35.1465097,126.8936929,52.79327774047852,4.0,27.86,16.88,60.58
35.1387953,126.8963402,52.87007141113281,4.0,27.86,16.88,60.58
35.14796949999999,126.9025694,51.40118026733398,4.0,27.86,16.88,60.58
35.1474827,126.9067464,55.53184509277344,4.0,27.86,16.88,60.58
35.1412339,126.8884438,39.17871856689453,4.0,27.86,16.88,60.58
35.0732376,126.8223773,19.57572365,4.0,27.86,16.88,60.58
35.0611889,126.7909689,12.73195171356201,4.0,27.86,16.88,60.58
35.1376267,126.8940454,40.64082717895508,4.0,27.86,16.88,60.58
35.1359599,126.9063283,55.16454696655273,4.0,27.86,16.88,60.58
35.1318096,126.9046347,50.23849487304688,4.0,27.86,16.88,60.58
35.147294,126.9034508,47.50146102905273,4.0,27.86,16.88,60.58
35.1446423,126.8930363,49.7608528137207,4.0,27.86,16.88,60.58
35.1309181,126.914187,65.6572265625,4.0,27.86,16.88,60.58
35.1280913,126.908448,57.19326400756836,4.0,27.86,16.88,60.58
35.1131411,126.9031246,79.81731414794922,4.0,27.86,16.88,60.58
35.1418505,126.8942761,47.12757873535156,4.0,27.86,16.88,60.58
35.1443673,126.8916901,44.06219863891602,4.0,27.86,16.88,60.58
35.139276,126.8918979,40.44063949584961,4.0,27.86,16.88,60.58
35.137794,126.8930763,40.61642074584961,4.0,27.86,16.88,60.58
35.1395211,126.8960534,53.44562530517578,4.0,27.86,16.88,60.58
35.1252722,126.9096562,56.57664489746094,4.0,27.86,16.88,60.58
35.1400473,126.9063099,70.62395477294922,4.0,27.86,16.88,60.58
35.134414,126.9217129,58.63016128540039,4.0,27.86,16.88,60.58
35.1446913,126.9041559,53.33489227294922,4.0,27.86,16.88,60.58
35.1428447,126.9019957,55.67488861083984,4.0,27.86,16.88,60.58
35.1352282,126.8961211,42.05503463745117,4.0,27.86,16.88,60.58
35.05451040000001,126.8113739,17.35573196411133,4.0,27.86,16.88,60.58
35.1360143,126.896325,44.9543342590332,4.0,27.86,16.88,60.58
35.1437632,126.8879009,38.01863098144531,4.0,27.86,16.88,60.58
35.1286657,126.8951517,48.15181732177734,4.0,27.86,16.88,60.58
35.148586,126.9070273,48.52210235595703,4.0,27.86,16.88,60.58
35.1189268,126.8966756,68.35358428955078,4.0,27.86,16.88,60.58
35.1517606,126.9014795,52.16717529296875,4.0,27.86,16.88,60.58
35.0812477,126.8322794,23.79419708251953,4.0,27.86,16.88,60.58
35.0535206,126.8115219,16.51754570007324,4.0,27.86,16.88,60.58
35.1461591,126.8978102,63.69443893432617,4.0,27.86,16.88,60.58
35.146333,126.9003655,58.69916915893555,4.0,27.86,16.88,60.58
35.1439828,126.8945252,61.10607147216797,4.0,27.86,16.88,60.58
35.1324535,126.8954974,41.69355010986328,4.0,27.86,16.88,60.58
35.1375488,126.8929881,40.52882766723633,4.0,27.86,16.88,60.58
35.1342741,126.9081547,49.39899444580078,4.0,27.86,16.88,60.58
35.1460925,126.8976775,64.5648193359375,4.0,27.86,16.88,60.58
35.1337341,126.8939241,42.79115676879883,4.0,27.86,16.88,60.58
35.1095106,126.8974878,79.2270278930664,4.0,27.86,16.88,60.58
35.135231,126.9062715,52.11365509033203,4.0,27.86,16.88,60.58
35.1447914,126.893733,54.73371124267578,4.0,27.86,16.88,60.58
35.1399968,126.9017974,57.67850875854492,4.0,27.86,16.88,60.58
35.1330011,126.9153513,59.75390243530273,4.0,27.86,16.88,60.58
35.14074799999999,126.9002023,63.3585205078125,4.0,27.86,16.88,60.58
35.1379699,126.8909626,40.39932632446289,4.0,27.86,16.88,60.58
35.1367809,126.908577,58.63286972045898,4.0,27.86,16.88,60.58
35.13526700000001,126.8923057,41.24434661865234,4.0,27.86,16.88,60.58
35.0575339,126.7853937,12.2967414855957,4.0,27.86,16.88,60.58
35.125699,126.8942734,64.41291046142578,4.0,27.86,16.88,60.58
35.1342404,126.9178344,59.10687637329102,4.0,27.86,16.88,60.58
35.1284721,126.8967155,49.92770004272461,4.0,27.86,16.88,60.58
35.0674185,126.7909365,11.88328456878662,4.0,27.86,16.88,60.58
35.1332621,126.9161116,60.98421859741211,4.0,27.86,16.88,60.58
35.1266969,126.8953449,52.666015625,4.0,27.86,16.88,60.58
35.1355176,126.8958964,42.6829719543457,4.0,27.86,16.88,60.58
35.1331429,126.922767,59.65215301513672,4.0,27.86,16.88,60.58
35.1323625,126.9060683,49.29534912109375,4.0,27.86,16.88,60.58
35.0806256,126.8328714,22.86398506164551,4.0,27.86,16.88,60.58
35.1464496,126.9002366,59.73413848876953,4.0,27.86,16.88,60.58
35.1380515,126.8914152,40.01747894287109,4.0,27.86,16.88,60.58
35.1423151,126.8895982,36.92288970947266,4.0,27.86,16.88,60.58
35.1285178,126.9135961,63.35324478149414,4.0,27.86,16.88,60.58
35.1340639,126.9186399,60.3468017578125,4.0,27.86,16.88,60.58
35.1458015,126.9065371,64.42472076416016,4.0,27.86,16.88,60.58
35.1510247,126.9013023,59.06813049316406,4.0,27.86,16.88,60.58
35.1460358,126.9026691,49.89862442016602,4.0,27.86,16.88,60.58
35.1398055,126.9176142,52.17253875732422,4.0,27.86,16.88,60.58
35.0669614,126.7910312,11.78673362731934,4.0,27.86,16.88,60.58
35.1270932,126.9072912,61.31354141235352,4.0,27.86,16.88,60.58
35.1477538,126.892214,49.06753158569336,4.0,27.86,16.88,60.58
35.1456127,126.9052336,56.69329452514648,4.0,27.86,16.88,60.58
35.13773560000001,126.8918023,40.58123397827148,4.0,27.86,16.88,60.58
35.0838052,126.8042986,19.70016098022461,4.0,27.86,16.88,60.58
35.1469756,126.8946241,57.5875358581543,4.0,27.86,16.88,60.58
35.1409886,126.9057922,62.59913635253906,4.0,27.86,16.88,60.58
35.1321916,126.9131049,59.11275482177734,4.0,27.86,16.88,60.58
35.1284269,126.9088741,55.86358261108398,4.0,27.86,16.88,60.58
35.1359019,126.8954155,42.15194320678711,4.0,27.86,16.88,60.58
35.1296914,126.8948995,46.87863159179688,4.0,27.86,16.88,60.58
35.1313199,126.9044854,51.95753479003906,4.0,27.86,16.88,60.58
35.0716818,126.8063907,15.83863162994385,4.0,27.86,16.88,60.58
35.1378289,126.8938886,40.89873886108398,4.0,27.86,16.88,60.58
35.148419,126.8896997,46.49636077880859,4.0,27.86,16.88,60.58
35.1331486,126.8962729,41.50741195678711,4.0,27.86,16.88,60.58
35.1410955,126.9149158,53.51458358764648,4.0,27.86,16.88,60.58
35.1440758,126.9019392,56.25033569335938,4.0,27.86,16.88,60.58
35.126939,126.8961073,48.98554992675781,4.0,27.86,16.88,60.58
35.1333761,126.8964758,42.19609069824219,4.0,27.86,16.88,60.58
35.1241552,126.8966701,54.57383728027344,4.0,27.86,16.88,60.58
35.1398886,126.9172665,52.0,4.0,27.86,16.88,60.58
35.1447951,126.8886971,40.77182769775391,4.0,27.86,16.88,60.58
35.099563,126.8784349,46.83319473266602,4.0,27.86,16.88,60.58
35.1406388,126.9001794,63.38192749023438,4.0,27.86,16.88,60.58
35.0534237,126.812645,18.52560234069824,4.0,27.86,16.88,60.58
35.1463228,126.9025961,49.67360305786133,4.0,27.86,16.88,60.58
35.0572659,126.7851072,12.77430248260498,4.0,27.86,16.88,60.58
35.1243962,126.8948376,61.77407836914062,4.0,27.86,16.88,60.58
35.1263005,126.8970239,53.40858459472656,4.0,27.86,16.88,60.58
35.1304171,126.8968826,47.33044815063477,4.0,27.86,16.88,60.58
35.0778451,126.8650608,76.62950134277344,4.0,27.86,16.88,60.58
35.1425107,126.9016513,56.47724151611328,4.0,27.86,16.88,60.58
35.144553,126.8991162,55.83710861206055,4.0,27.86,16.88,60.58
35.1396515,126.9014659,55.76686477661133,4.0,27.86,16.88,60.58
35.1446241,126.8944387,60.57481384277344,4.0,27.86,16.88,60.58
35.1361123,126.8922375,40.25719451904297,4.0,27.86,16.88,60.58
35.0809211,126.8341356,24.83465385437012,4.0,27.86,16.88,60.58
35.0545547,126.810832,16.59074020385742,4.0,27.86,16.88,60.58
35.0573969,126.7835843,13.0,4.0,27.86,16.88,60.58
35.1466426,126.9019506,52.55989456176758,4.0,27.86,16.88,60.58
35.147931,126.9008056,62.23243713378906,4.0,27.86,16.88,60.58
35.145627,126.8920627,46.60601806640625,4.0,27.86,16.88,60.58
35.1365402,126.9058846,58.06540679931641,4.0,27.86,16.88,60.58
35.1333524,126.9133479,54.36117553710938,4.0,27.86,16.88,60.58
35.1495855,126.9028453,50.00869369506836,4.0,27.86,16.88,60.58
35.1274758,126.896971,50.63802719116211,4.0,27.86,16.88,60.58
35.1450993,126.8877277,38.64716720581055,4.0,27.86,16.88,60.58
35.0899407,126.8661892,50.61115264892578,4.0,27.86,16.88,60.58
35.1357293,126.9075524,53.16967391967773,4.0,27.86,16.88,60.58
35.1322057,126.8962854,42.25454330444336,4.0,27.86,16.88,60.58
35.1272921,126.9024264,72.6153335571289,4.0,27.86,16.88,60.58
35.1484179,126.8929012,48.10209274291992,4.0,27.86,16.88,60.58
35.1322207,126.9172759,64.35011291503906,4.0,27.86,16.88,60.58
35.1473267,126.8942798,56.13333129882812,4.0,27.86,16.88,60.58
35.1450384,126.9053949,58.76081466674805,4.0,27.86,16.88,60.58
35.1308845,126.9248194,58.70742034912109,4.0,27.86,16.88,60.58
35.1377489,126.8912787,40.17119216918945,4.0,27.86,16.88,60.58
35.1325118,126.9054961,48.3950309753418,4.0,27.86,16.88,60.58
